,Offer Accepted,Reward,Mailer Type,Income Level,Credit Rating,# Credit Cards Held,Household Size
9066,No,Air Miles,Postcard,Medium,High,2,3
9067,No,Cash Back,Postcard,Medium,Medium,2,2
9068,No,Points,Postcard,Low,Low,2,4
9069,No,Cash Back,Letter,Medium,High,3,3
9070,No,Points,Postcard,Medium,High,1,3
9071,No,Points,Postcard,Medium,Low,2,5
9072,No,Air Miles,Postcard,Low,High,2,5
9073,No,Points,Letter,Medium,Medium,1,4
9074,No,Air Miles,Postcard,Medium,Medium,2,4
9075,No,Air Miles,Letter,Medium,Medium,1,4
9076,No,Points,Letter,Medium,Medium,2,4
9077,No,Cash Back,Postcard,Low,High,1,4
9078,No,Air Miles,Letter,Low,Medium,2,3
9079,No,Air Miles,Letter,Medium,Medium,2,3
9080,No,Air Miles,Letter,High,High,1,4
9081,No,Points,Letter,Medium,Medium,1,3
9082,No,Cash Back,Postcard,Medium,Low,2,3
9083,No,Cash Back,Postcard,Medium,High,2,4
9084,No,Cash Back,Postcard,High,Medium,2,3
9085,No,Air Miles,Letter,Medium,High,1,5
9086,No,Points,Letter,High,Medium,2,4
9087,No,Points,Letter,Medium,Low,1,5
9088,No,Cash Back,Letter,Medium,High,1,3
9089,No,Air Miles,Postcard,Medium,High,1,2
9090,No,Cash Back,Postcard,Medium,Medium,2,3
9091,No,Cash Back,Letter,Medium,Medium,1,2
9092,No,Cash Back,Postcard,Low,Medium,3,3
9093,No,Points,Postcard,Medium,High,3,3
9094,No,Points,Postcard,High,Medium,1,3
9095,No,Air Miles,Postcard,Medium,High,2,4
9096,No,Cash Back,Letter,Low,Medium,3,3
9097,No,Points,Letter,Low,High,1,5
9098,No,Cash Back,Postcard,High,Medium,1,3
9099,No,Points,Letter,Medium,High,3,3
9100,No,Air Miles,Postcard,High,Medium,2,4
9101,No,Points,Letter,Medium,Medium,2,5
9102,No,Cash Back,Postcard,Low,Medium,2,5
9103,No,Cash Back,Postcard,Medium,Low,2,3
9104,No,Cash Back,Postcard,Medium,High,3,2
9105,No,Cash Back,Postcard,Low,Medium,2,2
9106,No,Cash Back,Postcard,Medium,Medium,3,4
9107,No,Points,Letter,Low,Medium,2,1
9108,No,Cash Back,Letter,Medium,Medium,2,2
9109,No,Cash Back,Letter,Medium,Medium,3,6
9110,No,Points,Letter,Low,Medium,2,4
9111,No,Cash Back,Letter,High,Medium,1,5
9112,No,Air Miles,Postcard,Low,Medium,2,3
9113,No,Cash Back,Postcard,High,Medium,3,1
9114,No,Cash Back,Postcard,Medium,Low,1,4
9115,No,Cash Back,Postcard,Medium,Low,1,5
9116,No,Cash Back,Postcard,High,Low,3,4
9117,No,Cash Back,Letter,Low,Low,3,2
9118,No,Points,Letter,Medium,Medium,2,4
9119,No,Cash Back,Letter,Low,Low,3,4
9120,No,Points,Letter,Medium,High,1,4
9121,No,Air Miles,Postcard,Medium,Low,2,5
9122,No,Cash Back,Postcard,Medium,High,3,3
9123,No,Cash Back,Postcard,Medium,Medium,2,2
9124,No,Air Miles,Postcard,Medium,Low,1,2
9125,No,Cash Back,Letter,Low,High,2,3
9126,No,Air Miles,Letter,Low,Low,2,3
9127,No,Cash Back,Letter,Medium,High,1,4
9128,No,Air Miles,Letter,Medium,High,2,4
9129,No,Points,Letter,Medium,High,2,4
9130,No,Cash Back,Letter,High,High,1,3
9131,No,Air Miles,Postcard,Low,Medium,3,2
9132,No,Air Miles,Postcard,Medium,Low,2,3
9133,No,Air Miles,Letter,Medium,Medium,2,4
9134,No,Points,Postcard,Low,Low,1,3
9135,No,Air Miles,Letter,High,Low,2,4
9136,No,Air Miles,Postcard,Medium,Low,2,5
9137,No,Air Miles,Letter,High,High,1,4
9138,No,Points,Letter,Medium,Low,1,5
9139,No,Air Miles,Postcard,Medium,Medium,2,3
9140,No,Cash Back,Letter,High,Low,1,4
9141,No,Points,Letter,Medium,Medium,2,4
9142,No,Air Miles,Postcard,Low,Medium,2,5
9143,No,Air Miles,Letter,Medium,Medium,3,4
9144,No,Cash Back,Letter,Medium,Medium,1,2
9145,No,Points,Letter,Low,Low,1,2
9146,No,Cash Back,Letter,High,Low,1,5
9147,No,Cash Back,Postcard,High,Medium,2,3
9148,No,Points,Letter,Medium,Low,1,2
9149,No,Air Miles,Letter,Low,High,2,3
9150,No,Points,Letter,Medium,High,2,4
9151,No,Points,Letter,Low,Low,2,5
9152,No,Air Miles,Postcard,Medium,Low,2,2
9153,No,Air Miles,Letter,Low,Medium,2,5
9154,No,Points,Postcard,Low,Low,2,4
9155,No,Air Miles,Letter,Medium,Low,3,2
9156,No,Cash Back,Letter,Low,Medium,2,5
9157,No,Points,Postcard,Medium,Low,2,2
9158,No,Air Miles,Postcard,High,Medium,1,3
9159,No,Cash Back,Postcard,Medium,High,1,3
9160,No,Points,Postcard,Medium,High,1,3
9161,No,Points,Postcard,Low,Medium,1,5
9162,No,Air Miles,Letter,Medium,High,2,5
9163,No,Points,Postcard,High,Medium,2,4
9164,No,Air Miles,Postcard,Medium,Medium,1,3
9165,No,Air Miles,Postcard,Medium,High,1,3
9166,No,Points,Letter,Medium,High,3,3
9167,No,Air Miles,Postcard,Medium,High,2,2
9168,No,Cash Back,Letter,Medium,Medium,2,3
9169,No,Air Miles,Letter,Medium,Medium,2,2
9170,No,Air Miles,Letter,Medium,High,3,3
9171,No,Points,Letter,Medium,High,1,4
9172,No,Air Miles,Letter,Medium,High,2,2
9173,No,Points,Postcard,Medium,Medium,1,3
9174,No,Points,Letter,Low,High,2,3
9175,No,Air Miles,Postcard,Medium,High,2,5
9176,No,Cash Back,Letter,Medium,Medium,2,5
9177,No,Air Miles,Letter,Medium,Medium,3,4
9178,No,Cash Back,Postcard,Medium,Low,1,3
9179,No,Points,Postcard,Medium,Low,2,4
9180,No,Cash Back,Postcard,High,High,2,5
9181,No,Cash Back,Letter,Low,Medium,1,2
9182,No,Points,Postcard,Medium,Low,2,3
9183,No,Cash Back,Letter,High,Medium,2,3
9184,No,Air Miles,Letter,Low,High,1,3
9185,No,Cash Back,Postcard,High,High,3,4
9186,No,Points,Letter,Medium,Medium,1,3
9187,No,Cash Back,Postcard,Low,Low,2,4
9188,No,Air Miles,Letter,Medium,Low,2,4
9189,No,Points,Letter,Medium,Low,2,4
9190,No,Cash Back,Letter,Low,Medium,2,6
9191,No,Points,Letter,Medium,High,1,3
9192,No,Cash Back,Postcard,Low,Medium,2,4
9193,No,Cash Back,Letter,High,Medium,3,2
9194,No,Points,Letter,Low,Medium,2,4
9195,No,Points,Postcard,High,Low,2,4
9196,No,Air Miles,Letter,Low,Medium,1,5
9197,No,Cash Back,Letter,Medium,Low,1,2
9198,No,Air Miles,Letter,High,High,3,5
9199,No,Points,Letter,Medium,Low,2,2
9200,No,Points,Postcard,Medium,High,1,4
9201,No,Air Miles,Letter,Medium,High,2,3
9202,No,Cash Back,Postcard,Low,Low,1,2
9203,No,Cash Back,Letter,Medium,Medium,2,4
9204,No,Points,Postcard,High,High,1,1
9205,No,Air Miles,Letter,Medium,Low,2,3
9206,No,Air Miles,Postcard,Low,High,1,3
9207,No,Points,Letter,High,High,3,5
9208,No,Points,Postcard,Low,Medium,1,3
9209,No,Air Miles,Postcard,Medium,High,2,4
9210,No,Cash Back,Postcard,Low,Medium,2,3
9211,No,Points,Postcard,Medium,Medium,1,5
9212,No,Cash Back,Letter,Medium,Medium,1,2
9213,No,Points,Letter,Low,High,3,4
9214,No,Cash Back,Postcard,Medium,High,2,3
9215,No,Air Miles,Postcard,Medium,Low,1,4
9216,No,Cash Back,Letter,Medium,Low,2,3
9217,No,Air Miles,Postcard,High,Medium,1,5
9218,No,Air Miles,Postcard,Medium,Medium,2,4
9219,No,Cash Back,Letter,Low,Low,1,3
9220,No,Cash Back,Postcard,Medium,High,2,4
9221,No,Cash Back,Postcard,Medium,High,1,4
9222,No,Cash Back,Postcard,High,High,1,4
9223,No,Cash Back,Postcard,Low,Low,2,5
9224,No,Points,Letter,Medium,High,3,3
9225,No,Cash Back,Letter,Low,Medium,2,4
9226,No,Air Miles,Postcard,Medium,High,3,2
9227,No,Air Miles,Postcard,Low,High,1,2
9228,No,Cash Back,Postcard,Medium,Low,2,3
9229,No,Cash Back,Letter,Medium,Medium,3,2
9230,No,Air Miles,Letter,Medium,High,3,4
9231,No,Air Miles,Letter,Medium,High,2,3
9232,No,Air Miles,Letter,Medium,Medium,2,2
9233,No,Air Miles,Postcard,Low,Low,2,3
9234,No,Points,Letter,Medium,Low,1,3
9235,No,Cash Back,Letter,High,Medium,1,3
9236,No,Air Miles,Letter,Medium,Low,2,3
9237,No,Points,Letter,Medium,High,2,5
9238,No,Air Miles,Letter,High,Medium,2,3
9239,No,Cash Back,Letter,Medium,High,2,4
9240,No,Points,Letter,Medium,Low,3,3
9241,No,Points,Letter,High,High,2,2
9242,No,Cash Back,Letter,Medium,High,2,3
9243,No,Air Miles,Letter,Medium,Low,1,2
9244,No,Air Miles,Letter,Medium,High,2,3
9245,No,Points,Letter,High,Medium,2,3
9246,No,Cash Back,Letter,Low,High,2,3
9247,No,Points,Letter,High,Low,1,5
9248,No,Cash Back,Postcard,Medium,Low,3,4
9249,No,Cash Back,Letter,Medium,High,2,2
9250,No,Cash Back,Postcard,Low,Low,1,4
9251,No,Cash Back,Letter,Medium,Low,1,4
9252,No,Cash Back,Letter,High,High,2,4
9253,No,Air Miles,Postcard,Medium,Low,2,5
9254,No,Cash Back,Postcard,Medium,Medium,1,4
9255,No,Cash Back,Postcard,Medium,High,2,4
9256,No,Cash Back,Postcard,Low,Low,2,5
9257,No,Air Miles,Letter,Low,Medium,2,3
9258,No,Air Miles,Postcard,Medium,High,2,3
9259,No,Points,Letter,Low,Low,1,3
9260,No,Cash Back,Letter,High,Low,2,3
9261,No,Air Miles,Postcard,Low,High,1,2
9262,No,Cash Back,Postcard,Medium,Low,1,2
9263,No,Points,Postcard,Medium,Low,3,4
9264,No,Cash Back,Letter,High,Medium,1,3
9265,No,Air Miles,Letter,Low,Medium,1,5
9266,No,Cash Back,Postcard,High,High,1,4
9267,No,Points,Postcard,Medium,Medium,2,3
9268,No,Cash Back,Postcard,Medium,Medium,2,2
9269,No,Air Miles,Letter,Medium,High,2,5
9270,No,Air Miles,Postcard,Low,Medium,1,1
9271,No,Points,Letter,Low,High,1,2
9272,No,Air Miles,Letter,Low,Low,2,3
9273,No,Cash Back,Letter,Medium,High,2,5
9274,No,Cash Back,Postcard,Low,High,1,1
9275,No,Cash Back,Letter,Medium,High,1,3
9276,No,Air Miles,Letter,Medium,Medium,1,5
9277,No,Air Miles,Postcard,Low,Medium,2,3
9278,No,Cash Back,Postcard,Medium,Medium,1,4
9279,No,Points,Postcard,Medium,High,2,4
9280,No,Air Miles,Postcard,Medium,Low,2,4
9281,No,Air Miles,Letter,Medium,Low,2,4
9282,No,Air Miles,Letter,High,Low,3,3
9283,No,Points,Letter,Low,Medium,2,4
9284,No,Air Miles,Postcard,High,Low,1,4
9285,No,Cash Back,Letter,Medium,Low,2,1
9286,No,Cash Back,Postcard,Medium,High,1,3
9287,No,Points,Letter,High,Low,2,5
9288,No,Cash Back,Letter,High,Medium,2,4
9289,No,Points,Letter,Medium,Low,3,4
9290,No,Air Miles,Postcard,Medium,Low,1,2
9291,No,Cash Back,Letter,Low,High,3,3
9292,No,Points,Postcard,Medium,Medium,3,4
9293,No,Cash Back,Postcard,High,Medium,1,3
9294,No,Cash Back,Postcard,High,Low,2,2
9295,No,Points,Letter,Medium,Medium,2,4
9296,No,Cash Back,Postcard,Medium,Low,2,4
9297,No,Points,Postcard,Medium,Medium,2,2
9298,No,Points,Letter,Medium,High,3,4
9299,No,Points,Letter,Low,High,3,4
9300,No,Air Miles,Postcard,Low,Medium,1,3
9301,No,Cash Back,Postcard,Low,Low,1,3
9302,No,Points,Postcard,Medium,High,2,5
9303,No,Cash Back,Letter,High,Medium,2,2
9304,No,Air Miles,Postcard,Medium,Medium,1,3
9305,No,Air Miles,Letter,Medium,Medium,2,2
9306,No,Cash Back,Postcard,Medium,High,2,1
9307,No,Cash Back,Postcard,Medium,High,2,5
9308,No,Points,Postcard,Medium,Medium,1,5
9309,No,Points,Postcard,High,High,3,1
9310,No,Air Miles,Letter,Medium,Low,3,3
9311,No,Points,Letter,High,High,2,5
9312,No,Points,Postcard,Low,High,1,4
9313,No,Points,Postcard,Medium,High,2,2
9314,No,Cash Back,Postcard,Low,High,2,4
9315,No,Cash Back,Letter,Low,High,2,2
9316,No,Points,Postcard,Medium,Low,1,2
9317,No,Air Miles,Letter,Low,High,1,1
9318,No,Cash Back,Letter,Medium,High,2,4
9319,No,Cash Back,Letter,High,High,2,4
9320,No,Cash Back,Postcard,Medium,Medium,1,3
9321,No,Air Miles,Letter,High,High,1,6
9322,No,Cash Back,Postcard,Medium,High,1,5
9323,No,Cash Back,Letter,Medium,High,1,1
9324,No,Air Miles,Postcard,Medium,High,2,3
9325,No,Air Miles,Letter,Medium,Low,2,3
9326,No,Air Miles,Letter,Medium,High,2,4
9327,No,Cash Back,Letter,Low,Medium,3,3
9328,No,Cash Back,Letter,Medium,High,1,6
9329,No,Air Miles,Postcard,High,High,1,1
9330,No,Air Miles,Postcard,Medium,High,2,5
9331,No,Air Miles,Postcard,Low,High,1,5
9332,No,Cash Back,Letter,Low,High,1,4
9333,No,Air Miles,Postcard,Medium,Low,2,6
9334,No,Air Miles,Postcard,Medium,Medium,1,3
9335,No,Cash Back,Postcard,Medium,Medium,3,5
9336,No,Cash Back,Postcard,Low,High,3,4
9337,No,Points,Letter,Medium,Low,1,4
9338,No,Cash Back,Postcard,Medium,High,2,4
9339,No,Points,Letter,High,Medium,2,3
9340,No,Cash Back,Postcard,Medium,Medium,1,4
9341,No,Cash Back,Letter,High,Medium,2,4
9342,No,Cash Back,Postcard,Low,High,3,3
9343,No,Air Miles,Letter,Medium,High,2,4
9344,No,Air Miles,Postcard,Medium,Medium,3,4
9345,No,Cash Back,Letter,High,Medium,1,3
9346,No,Cash Back,Postcard,High,Medium,1,3
9347,No,Air Miles,Letter,Medium,Low,1,5
9348,No,Cash Back,Letter,High,Low,3,4
9349,No,Cash Back,Postcard,Medium,Low,1,3
9350,No,Points,Postcard,Medium,Low,3,4
9351,No,Cash Back,Postcard,High,High,2,4
9352,No,Air Miles,Postcard,Low,Low,1,2
9353,No,Cash Back,Postcard,Medium,High,2,2
9354,No,Points,Postcard,High,High,2,5
9355,No,Air Miles,Letter,High,High,2,2
9356,No,Points,Postcard,Medium,High,2,5
9357,No,Points,Letter,Medium,Medium,2,2
9358,No,Points,Letter,Medium,High,2,4
9359,No,Cash Back,Postcard,Low,Low,1,3
9360,No,Air Miles,Postcard,Medium,High,3,4
9361,No,Cash Back,Postcard,High,Medium,1,3
9362,No,Air Miles,Letter,Low,Low,3,3
9363,No,Air Miles,Postcard,Medium,High,2,2
9364,No,Cash Back,Postcard,Medium,Low,3,3
9365,No,Air Miles,Postcard,Medium,Low,3,4
9366,No,Points,Postcard,Medium,Low,2,5
9367,No,Air Miles,Postcard,Low,Medium,1,3
9368,No,Points,Letter,Medium,Medium,2,3
9369,No,Points,Letter,High,High,2,3
9370,No,Points,Postcard,Medium,Medium,2,5
9371,No,Air Miles,Letter,High,Medium,2,3
9372,No,Points,Letter,Medium,High,2,2
9373,No,Cash Back,Postcard,High,High,2,4
9374,No,Air Miles,Postcard,High,Medium,1,4
9375,No,Points,Letter,Medium,Low,2,4
9376,No,Points,Postcard,Low,Low,3,3
9377,No,Points,Postcard,Medium,Low,2,2
9378,No,Air Miles,Postcard,High,High,1,3
9379,No,Air Miles,Letter,Medium,Medium,1,5
9380,No,Air Miles,Letter,Low,Low,1,5
9381,No,Points,Postcard,Low,High,1,4
9382,No,Points,Postcard,Low,High,2,4
9383,No,Cash Back,Letter,Medium,Low,1,3
9384,No,Cash Back,Letter,Medium,Medium,1,2
9385,No,Cash Back,Postcard,High,Low,2,5
9386,No,Cash Back,Letter,Medium,Medium,2,4
9387,No,Points,Postcard,Medium,Low,1,5
9388,No,Points,Postcard,Medium,Low,2,4
9389,No,Points,Letter,High,High,1,5
9390,No,Air Miles,Postcard,Low,Low,2,4
9391,No,Cash Back,Letter,Medium,High,2,3
9392,No,Points,Postcard,Medium,High,2,3
9393,No,Cash Back,Letter,Medium,High,2,4
9394,No,Cash Back,Postcard,Medium,Low,2,5
9395,No,Air Miles,Postcard,Medium,Low,1,3
9396,No,Air Miles,Postcard,Low,High,2,5
9397,No,Cash Back,Postcard,Medium,Low,2,5
9398,No,Air Miles,Postcard,High,Low,2,4
9399,No,Cash Back,Postcard,Medium,Low,3,2
9400,No,Points,Letter,Medium,Medium,2,4
9401,No,Air Miles,Postcard,Low,High,2,2
9402,No,Cash Back,Postcard,Medium,High,3,3
9403,No,Air Miles,Letter,Medium,Low,3,6
9404,No,Points,Letter,Low,Medium,2,5
9405,No,Air Miles,Postcard,Medium,Low,1,4
9406,No,Points,Letter,Medium,High,3,4
9407,No,Cash Back,Letter,High,Medium,2,3
9408,No,Points,Postcard,Medium,High,3,2
9409,No,Air Miles,Letter,Low,Low,1,5
9410,No,Air Miles,Letter,Medium,High,1,4
9411,No,Cash Back,Letter,Low,Medium,1,4
9412,No,Points,Letter,High,Low,2,4
9413,No,Cash Back,Postcard,Low,Medium,1,5
9414,No,Air Miles,Letter,Medium,Low,1,3
9415,No,Points,Letter,High,Low,2,3
9416,No,Air Miles,Letter,Low,Medium,1,2
9417,No,Cash Back,Postcard,Medium,Low,3,2
9418,No,Air Miles,Letter,High,Low,3,4
9419,No,Air Miles,Letter,High,High,2,2
9420,No,Air Miles,Postcard,Low,Medium,1,3
9421,No,Points,Postcard,High,Medium,1,3
9422,No,Air Miles,Postcard,Medium,High,3,3
9423,No,Points,Letter,Medium,High,2,2
9424,No,Cash Back,Letter,High,High,2,3
9425,No,Air Miles,Postcard,High,Medium,3,4
9426,No,Cash Back,Letter,Medium,High,2,4
9427,No,Cash Back,Letter,Low,Low,1,5
9428,No,Cash Back,Letter,Medium,Low,2,4
9429,No,Air Miles,Postcard,Medium,Low,2,5
9430,No,Air Miles,Letter,Medium,High,1,4
9431,No,Points,Letter,Medium,Medium,2,4
9432,No,Points,Postcard,Low,Low,3,3
9433,No,Cash Back,Postcard,Medium,High,2,3
9434,No,Cash Back,Postcard,High,High,3,3
9435,No,Air Miles,Postcard,Medium,Low,3,6
9436,No,Air Miles,Letter,Medium,Medium,2,4
9437,No,Air Miles,Letter,High,Medium,3,4
9438,No,Air Miles,Postcard,Medium,Low,2,4
9439,No,Cash Back,Postcard,Medium,Medium,2,4
9440,No,Points,Letter,High,High,1,2
9441,No,Cash Back,Postcard,Medium,Medium,2,5
9442,No,Points,Postcard,High,Low,3,5
9443,No,Cash Back,Postcard,High,Low,1,5
9444,No,Points,Letter,Low,High,2,4
9445,No,Air Miles,Letter,High,Low,2,4
9446,No,Cash Back,Letter,Low,High,3,4
9447,No,Air Miles,Postcard,High,Low,2,5
9448,No,Air Miles,Letter,Low,Low,1,2
9449,No,Cash Back,Postcard,Medium,High,1,4
9450,No,Air Miles,Postcard,High,Low,3,3
9451,No,Cash Back,Postcard,High,Medium,2,5
9452,No,Points,Postcard,Medium,High,3,4
9453,No,Air Miles,Letter,Medium,High,2,1
9454,No,Points,Letter,Medium,High,1,4
9455,No,Air Miles,Postcard,Low,Medium,1,5
9456,No,Air Miles,Postcard,Medium,High,1,6
9457,No,Points,Letter,Medium,Low,2,3
9458,No,Air Miles,Letter,Medium,Medium,3,2
9459,No,Air Miles,Letter,High,Medium,3,5
9460,No,Points,Letter,Medium,Low,1,5
9461,No,Air Miles,Postcard,Medium,High,3,4
9462,No,Air Miles,Letter,Low,High,2,3
9463,No,Cash Back,Letter,Low,Low,1,4
9464,No,Cash Back,Postcard,Medium,Medium,2,1
9465,No,Cash Back,Postcard,Medium,Low,1,4
9466,No,Points,Postcard,Medium,High,1,2
9467,No,Points,Letter,Low,Low,3,4
9468,No,Cash Back,Postcard,High,Low,2,4
9469,No,Air Miles,Letter,High,High,1,3
9470,No,Air Miles,Postcard,Medium,High,1,5
9471,No,Air Miles,Letter,Medium,High,3,4
9472,No,Cash Back,Postcard,Low,Medium,2,5
9473,No,Cash Back,Postcard,High,Medium,1,2
9474,No,Air Miles,Postcard,High,Low,1,3
9475,No,Points,Letter,High,High,1,4
9476,No,Points,Postcard,Medium,Medium,1,5
9477,No,Cash Back,Postcard,High,Medium,1,6
9478,No,Air Miles,Letter,Medium,Low,1,3
9479,No,Cash Back,Postcard,Medium,High,2,6
9480,No,Points,Postcard,Low,High,3,2
9481,No,Points,Letter,High,Low,1,4
9482,No,Cash Back,Postcard,Medium,High,1,5
9483,No,Cash Back,Postcard,Medium,Low,3,4
9484,No,Cash Back,Postcard,Medium,Medium,3,3
9485,No,Air Miles,Letter,Medium,High,1,3
9486,No,Air Miles,Letter,Medium,High,1,5
9487,No,Cash Back,Postcard,Medium,Medium,1,3
9488,No,Air Miles,Postcard,Medium,Medium,1,4
9489,No,Air Miles,Letter,High,Low,1,2
9490,No,Air Miles,Postcard,Low,Low,3,3
9491,No,Air Miles,Postcard,Medium,Low,2,6
9492,No,Air Miles,Postcard,Medium,Low,3,3
9493,No,Points,Letter,High,Medium,2,3
9494,No,Points,Postcard,Medium,Medium,2,3
9495,No,Points,Postcard,Medium,Low,1,4
9496,No,Air Miles,Postcard,High,High,2,5
9497,No,Air Miles,Postcard,High,High,2,3
9498,No,Cash Back,Letter,Low,Medium,2,4
9499,No,Air Miles,Postcard,Medium,Low,1,3
9500,No,Cash Back,Postcard,Low,Low,1,4
9501,No,Cash Back,Postcard,Medium,Medium,1,4
9502,No,Cash Back,Postcard,Low,Medium,2,3
9503,No,Cash Back,Postcard,Low,Medium,2,5
9504,No,Air Miles,Letter,Medium,Medium,2,4
9505,No,Points,Postcard,Medium,Medium,1,3
9506,No,Points,Postcard,Medium,High,1,3
9507,No,Cash Back,Letter,Medium,Medium,3,5
9508,No,Cash Back,Postcard,Low,Low,2,4
9509,No,Points,Postcard,High,Medium,3,4
9510,No,Points,Postcard,Medium,Low,2,3
9511,No,Cash Back,Postcard,High,Low,3,4
9512,No,Points,Letter,Low,Low,2,3
9513,No,Air Miles,Letter,Medium,High,2,3
9514,No,Air Miles,Letter,Low,High,2,3
9515,No,Air Miles,Letter,Low,Medium,3,1
9516,No,Cash Back,Letter,High,High,1,4
9517,No,Air Miles,Letter,High,Low,2,3
9518,No,Cash Back,Letter,High,Low,2,2
9519,No,Points,Letter,Low,High,1,3
9520,No,Points,Letter,Medium,Low,2,4
9521,No,Cash Back,Letter,Medium,High,2,5
9522,No,Points,Letter,Medium,Medium,1,4
9523,No,Points,Letter,Medium,High,3,5
9524,No,Cash Back,Postcard,Low,Low,1,3
9525,No,Points,Letter,Low,High,2,5
9526,No,Air Miles,Letter,High,Low,1,4
9527,No,Cash Back,Letter,High,High,1,2
9528,No,Air Miles,Letter,Low,High,1,3
9529,No,Points,Postcard,Medium,High,1,4
9530,No,Points,Postcard,High,High,1,4
9531,No,Air Miles,Letter,High,Medium,1,4
9532,No,Points,Postcard,High,High,3,3
9533,No,Air Miles,Postcard,Medium,Low,2,5
9534,No,Air Miles,Letter,High,Low,3,2
9535,No,Air Miles,Letter,Medium,Medium,2,3
9536,No,Cash Back,Letter,Low,High,2,5
9537,No,Points,Postcard,Low,Medium,1,1
9538,No,Air Miles,Letter,High,Medium,2,3
9539,No,Cash Back,Postcard,Medium,High,2,2
9540,No,Air Miles,Letter,Medium,High,2,2
9541,No,Air Miles,Letter,Low,Low,1,3
9542,No,Cash Back,Letter,Medium,Medium,1,3
9543,No,Air Miles,Letter,Medium,Low,2,3
9544,No,Points,Postcard,High,Medium,3,5
9545,No,Points,Postcard,Medium,Low,2,3
9546,No,Points,Letter,Low,Low,3,4
9547,No,Cash Back,Postcard,Medium,Low,2,4
9548,No,Air Miles,Postcard,Medium,Low,1,5
9549,No,Points,Letter,Medium,High,3,4
9550,No,Cash Back,Letter,Low,Low,3,5
9551,No,Points,Postcard,High,Low,1,4
9552,No,Air Miles,Postcard,Medium,Low,3,3
9553,No,Air Miles,Letter,High,Medium,2,2
9554,No,Cash Back,Letter,Medium,Medium,1,4
9555,No,Points,Letter,Medium,High,3,3
9556,No,Points,Letter,High,Low,1,4
9557,No,Air Miles,Letter,Low,High,1,4
9558,No,Air Miles,Letter,Low,Low,2,4
9559,No,Air Miles,Letter,Medium,Low,3,3
9560,No,Points,Postcard,Low,Low,1,3
9561,No,Cash Back,Postcard,Medium,High,1,5
9562,No,Points,Postcard,Medium,Medium,2,5
9563,No,Air Miles,Postcard,High,High,2,6
9564,No,Points,Postcard,Medium,Low,2,3
9565,No,Points,Postcard,High,Medium,1,2
9566,No,Points,Letter,Medium,High,3,5
9567,No,Air Miles,Postcard,High,High,2,3
9568,No,Points,Postcard,Low,High,2,4
9569,No,Cash Back,Letter,Low,Medium,2,5
9570,No,Cash Back,Letter,Low,High,3,3
9571,No,Points,Postcard,Medium,High,2,4
9572,No,Air Miles,Letter,High,Low,2,4
9573,No,Air Miles,Postcard,Low,Medium,2,3
9574,No,Air Miles,Postcard,Medium,Medium,1,5
9575,No,Points,Letter,High,Medium,2,3
9576,No,Air Miles,Letter,High,Low,1,5
9577,No,Cash Back,Postcard,Medium,Medium,2,2
9578,No,Cash Back,Letter,High,Medium,3,4
9579,No,Points,Letter,Medium,Medium,1,5
9580,No,Cash Back,Letter,Medium,High,2,6
9581,No,Air Miles,Postcard,Medium,High,1,4
9582,No,Cash Back,Postcard,High,Medium,1,3
9583,No,Air Miles,Letter,Medium,High,1,5
9584,No,Points,Postcard,Medium,Low,3,3
9585,No,Cash Back,Letter,Medium,Medium,3,4
9586,No,Points,Postcard,Medium,Medium,1,4
9587,No,Air Miles,Postcard,Medium,High,3,3
9588,No,Cash Back,Letter,High,Low,1,5
9589,No,Cash Back,Postcard,High,High,3,3
9590,No,Points,Postcard,Medium,Low,2,3
9591,No,Cash Back,Letter,Low,Low,2,3
9592,No,Air Miles,Postcard,Medium,High,3,3
9593,No,Points,Letter,Low,Medium,2,2
9594,No,Air Miles,Postcard,Medium,High,3,3
9595,No,Air Miles,Postcard,High,Low,2,4
9596,No,Points,Letter,Low,Medium,1,5
9597,No,Points,Postcard,Medium,High,2,6
9598,No,Air Miles,Postcard,Low,Low,2,2
9599,No,Points,Letter,Medium,High,2,2
9600,No,Cash Back,Letter,High,Medium,1,4
9601,No,Points,Postcard,High,Low,2,3
9602,No,Points,Letter,Low,Medium,2,2
9603,No,Air Miles,Letter,High,Medium,3,1
9604,No,Cash Back,Postcard,Medium,Medium,2,5
9605,No,Points,Postcard,Low,Medium,2,3
9606,No,Air Miles,Postcard,Low,High,2,3
9607,No,Air Miles,Postcard,High,Medium,1,3
9608,No,Air Miles,Letter,Medium,Low,1,3
9609,No,Points,Postcard,Low,Medium,2,4
9610,No,Points,Postcard,Medium,High,2,5
9611,No,Air Miles,Letter,Medium,Medium,3,3
9612,No,Cash Back,Postcard,High,Low,2,5
9613,No,Points,Letter,High,High,2,3
9614,No,Points,Postcard,Medium,Medium,1,3
9615,No,Points,Postcard,Medium,High,1,4
9616,No,Air Miles,Postcard,Medium,Low,2,2
9617,No,Points,Postcard,High,Medium,1,4
9618,No,Air Miles,Letter,Low,Low,1,5
9619,No,Cash Back,Letter,High,High,2,4
9620,No,Cash Back,Postcard,Medium,High,2,3
9621,No,Points,Letter,Low,High,2,4
9622,No,Air Miles,Postcard,Medium,Medium,1,2
9623,No,Air Miles,Letter,High,High,1,4
9624,No,Points,Postcard,High,High,1,2
9625,No,Points,Letter,Low,High,1,4
9626,No,Air Miles,Letter,Medium,Low,1,3
